Label_A_01, dog, 狗
Label_A_02, cat, 猫
Label_A_03, bear, 熊
Label_A_04, rabbit, 兔子
Label_A_05, lion, 狮子
Label_A_06, tiger, 老虎
Label_A_07, cattle, 牛
Label_A_08, horse, 马
Label_A_09, giraffe, 长颈鹿
Label_A_10, monkey, 猴子
Label_A_11, elephant, 大象
Label_A_12, deer, 鹿
Label_A_13, giant_panda, 大熊猫
Label_A_14, lesser_panda, 小熊猫
Label_A_15, hedgehog, 刺猬
Label_A_16, leopard, 豹子
Label_A_17, rhinoceros, 犀牛
Label_A_18, koala, 考拉
Label_A_19, gorilla, 大猩猩
Label_A_20, donkey, 驴
Label_A_21, rat, 鼠
Label_A_22, fox, 狐狸
Label_A_23, wolf, 狼
Label_A_24, goat, 山羊
Label_A_25, eagle, 鹰
Label_A_26, chicken, 鸡
Label_A_27, duck, 鸭子
Label_A_28, swan, 天鹅
Label_A_29, goose, 鹅
Label_A_30, sparrow, 麻雀
Label_A_31, swallow, 燕子
Label_A_32, ostrich, 鸵鸟
Label_A_33, woodpecker, 啄木鸟
Label_A_34, parrot, 鹦鹉
Label_A_35, coral, 珊瑚
Label_A_36, starfish, 海星
Label_A_37, jellyfish, 水母
Label_A_38, turtle, 龟
Label_A_39, platypus, 鸭嘴兽
Label_A_40, catfish, 鲶鱼
Label_A_41, shark, 鲨鱼
Label_A_42, humpback_whale, 座头鲸
Label_A_43, sturgeon, 鲟鱼
Label_A_44, carp, 鲤鱼
Label_A_45, dolphin, 海豚
Label_A_46, butterfly, 蝴蝶
Label_A_47, dragonfly, 蜻蜓
Label_A_48, snail, 蜗牛
Label_A_49, honeybee, 蜜蜂
Label_A_50, ant, 蚂蚁
Label_F_01, apple, 苹果
Label_F_02, peach, 桃
Label_F_03, grape, 葡萄
Label_F_04, banana, 香蕉
Label_F_05, pineapple, 菠萝
Label_F_06, watermelon, 西瓜
Label_F_07, lemon, 柠檬
Label_F_08, mango, 芒果
Label_F_09, strawberry, 草莓
Label_F_10, cherry, 樱桃
Label_F_11, jujube, 枣
Label_F_12, apricot, 杏
Label_F_13, orange, 橙
Label_F_14, plum, 李子
Label_F_15, pomegranate, 石榴
Label_F_16, kiwi, 弥猴桃
Label_F_17, lychee, 荔枝
Label_F_18, mandarin_orange, 桔子
Label_F_19, pomelo, 柚子
Label_F_20, siraitia_grosvenorii, 罗汉果
Label_F_21, yam, 山药
Label_F_22, durian, 榴莲
Label_F_23, mangosteen, 山竹
Label_F_24, rambutan, 毛丹
Label_F_25, radish, 萝卜
Label_F_26, longan, 龙眼
Label_F_27, loquat, 枇杷
Label_F_28, fig, 无花果
Label_F_29, persimmon, 柿子
Label_F_30, walnut, 核桃
Label_F_31, hazelnut, 榛子
Label_F_32, eleocharis_dulcis, 荸荠
Label_F_33, mulberry_fruit, 桑椹
Label_F_34, chestnut, 板栗
Label_F_35, ginkgo_nut, 银杏果
Label_F_36, olive, 橄榄
Label_F_37, blueberry, 蓝莓
Label_F_38, pear, 梨
Label_F_39, carambola, 杨桃
Label_F_40, coconut, 椰子
Label_F_41, kumquat, 金桔
Label_F_42, jackfruit, 菠萝蜜
Label_F_43, pitaya, 火龙果
Label_F_44, tomato, 番茄
Label_F_45, hami_melon, 哈密瓜
Label_F_46, papaya, 木瓜
Label_F_47, red_bayberry, 杨梅
Label_F_48, muskmelon, 香瓜
Label_F_49, hawthorn, 山楂
Label_F_50, wax_apple, 莲雾
Label_V_01, bicycle, 自行车
Label_V_02, motorcycle, 摩托车
Label_V_03, pickuptruck, 皮卡车
Label_V_04, train, 火车
Label_V_05, tank, 坦克
Label_V_06, tractor, 拖拉机
